Customer name,Customer reference,Service rating,Service review title,Service review,NPS rating
William,Emily Chattaway,5,,"Emily is great, she is always willing to help explore options and ideas. Response is very timely and helpful as always",10
Olujimi,Jack Savory,5,"A Five-Star Experience Thanks to Jack's Expertise, Patience, and Dedication","Working with Jack has been an outstanding experience from start to finish. He is incredibly astute at what he does, exceptionally knowledgeable, and goes far beyond what you would expect from a mortgage broker. His expertise and understanding of the mortgage process are second to none, and it was evident throughout every stage of our journey that we were in very capable hands.

Our mortgage application ended up taking far longer than anyone could have anticipated, and it was a challenging process at times. Despite the delays and complexities, Jack remained patient, professional, and supportive throughout. Not once did he show any signs of frustration, fatigue, or impatience. Instead, he consistently reassured us, answered every question thoroughly, and took the time to explain everything in a way that gave us confidence and peace of mind.

What truly sets Jack apart is not only his technical knowledge but also his genuine care for his clients. He never made us feel like just another case. He was always approachable, responsive, and willing to go the extra mile to ensure we understood every step of the process. His calm demeanour and reassuring words helped us stay positive during what could have been a very stressful experience.

It is rare to come across someone who combines such a high level of professionalism with genuine empathy and dedication. I cannot recommend Jack highly enough to anyone looking for a mortgage broker who is knowledgeable, trustworthy, patient, and truly invested in achieving the best outcome for his clients.

Thank you, Jack, for your unwavering support and exceptional service. You have made what could have been an overwhelming experience much more manageable, and we are incredibly grateful. A thoroughly deserved five-star rating.",10
Michael,Tim Dock,5,Mortgage Queries,"Tim was very knowledgeable and explained things to us that made the whole mortgage process easier to understand. Due to us having little ones Tim made a Teams meeting around our busy schedule and any further questions we had he answered it the same day. 

I would recommend to anyone who is after some mortgage advice.",10
Alan,Jack Savory,5,Supportive mortgage advice. Five stars!,"Excellent service from Finance Planning. The team provided a genuinely personal approach from start to finish, taking the time to explain everything clearly and answer all my questions. They were always friendly, helpful, and made the whole mortgage process much less stressful. I wouldn't hesitate to recommend them to anyone looking for knowledgeable, professional, and supportive mortgage advice. Five stars!",9
Erika,Carl Thorne,5,Highly recommended,Carl was very helpful. He answered all of our questions and found us a great mortgage offer. He was in contact throughout the process and helped to significantly reduce the stress of organising our mortgage.,10
Alexander,Charlotte Haddow,5,Excellent,Amazing. Client centred.,9
Elzbieta,Jack Savory,5,Happy customer,"Excellent service. Several of my satisfied friends recommended the company. 
Jack, who handled my case, was responsive, informative, and very easy to work with.",10
Claire,Rob Chart,5,Professional and first class service,"Rob provides an excellent service and my remortgage processed so smoothly as always..  Rob is also such a great person do deal with and I have used his services for approaching 20 years. 

He is approachable and extremely knowledgeable about the products on the market and which one is best suited to my needs.   

Would highly recommend.",
Sophia,Jack Savory,5,Highly Recommend Jack,"This is the second time we’ve used Jack to help us with our mortgage, and once again he’s been fantastic. As always, Jack takes the time to explain everything clearly, is incredibly knowledgeable, and is always there to answer any questions we have. He’s happy to jump on a call whenever we need him and is always quick to respond, which gives us real peace of mind. We wouldn’t hesitate to recommend him to anyone looking for a reliable and professional financial advisor.",10
Sonya,Jack Savory,5,Completely recommend Jack Savory,"We've used Jack twice now for our mortgages, and I wouldn't hesitate to recommend him. He's always on hand to answer questions and offer honest, helpful advice, no matter how big or small the query.

Jack is incredibly patient, friendly, and knowledgeable, and he genuinely looks for the best mortgage rates and deals to suit your circumstances. He takes the time to explain everything clearly, making what can be a stressful process feel straightforward and manageable. We never felt rushed or pressured, and he was always quick to respond whenever we needed him.

Thank you, Jack, for all your help and support. We really appreciate everything you've done for us, and we'll definitely be coming back in the future!",10
Agnes,Jim Maye,5,Flawless service,"Absolutely flawless, we have used Jim (finance planning) for all our mortgage applications and everything has been clear and seamless throughout.",10
Elliott,Lucy Diton,5,If Carlsberg did mortgages...,"Lucy was absolutely brilliant from start to finish. Buying a home can be stressful, but she made the whole process feel easy. She was always quick to respond, explained everything clearly, and kept us updated every step of the way.

It was obvious that she genuinely cared about getting us the best possible outcome, and nothing ever felt like too much trouble. Her knowledge, professionalism and support gave us complete confidence throughout.

I wouldn't hesitate to recommend Lucy to anyone looking for a mortgage adviser. If you're lucky enough to work with her, you're in very safe hands. Thank you again, Lucy!",10
Christine,Johnny Lancaster,5,Re-mortgage,"Johnny advised us in our re-mortgage, he was helpful, and knowledgeable giving all the options. Made us feel comfortable in our choice.
I would highly recommend Johnny.",10
John,Claire Lipscomb,5,,"The service I received was very good and very professional! Any questions and queries were answered fully and explained to me,",10
Jessica,Jack Humphries,5,Great service,Jack was very prompt at replying and ensured I got the best rate for my mortgage.,9
Susannah,Hannah Logan-Hughes,5,Excellent! Thank you Hannah!,"Hannah was knowledgeable, patient and thorough. She understood my needs and questions, was super helpful and clear and also easy to talk to and re-explained anything I needed. Could not fault, and would highly recommend to anyone! Thank you! As far as I will ever look forward to chatting about mortgages, lol, I will look forward to chatting next time I need to renew. Thanks so much again!",10
Jack,Jack Savory,5,,,10
Anton,Syd Martin,5,Priceless Service,"They’ve looked after and advised us from saving for a mortgage, through to getting the keys to our new home nearly 10 years ago. So lucky to have Syd and FPL recommended. We didn’t even realise we were buying a home. No stress, it just happened! All our cover and insurances arranged as well and we have had knowledgeable, intuitive support throughout our ownership which has been a big umbrella protecting us from the financial torrents currently battering the UK. Yes, things have become more expensive since 2024 but FPL prepared us for that well in advance. We can’t thank them enough and hope to be looked after by them throughout our lives. Had we gone through the usual
channels or a bank I suspect we would not be anywhere near as happy and settled as we have been.",10
Charles,Jack Savory,5,First class service,"First class service and very professional, helpful and knowledgeable. A great ambassador for finance planning",10
