Customer name,Customer reference,Service rating,Service review title,Service review,NPS rating
Mihaela-Madalina,Petru Balan,5,Trusted Guidance Through Our Home Purchase,"Excellent service from Finance Planning Mortgage Network. Our mortgage advisor Petru was knowledgeable, responsive, and supportive throughout the entire mortgage and home-buying process. Communication was excellent, and we always felt well informed.
Thank you for making the journey so much easier. Highly recommended!",10
Oliver,Jonathan Peachey,5,,,10
Laxmi,Samita Rai,5,Awesome,I felt comfortable and confident by the Samita’s experience advice and information provided. Her research to help me understand the right selection of the service from the provider. Much appreciated.,10
Jack,Carl Thorne,5,Faultless!,"Carl was absolutely brilliant from start to finish. I’ve used him now for a number of years and there’s clearly a reason I keep coming back!

He helped navigate our purchase by checking in every so often to see if there were any updates and then supported the final process, including making sure we were meeting our mortgage requirements.

I would recommend Carl for anyone who wants a smooth process and that personal touch.",10
Sarah,Unika Rai,5,Efficient and stress free,"Very quick, efficient and stress free service. Would definitely recommend the services of finance planning with Unika Rai.",10
Aniv,Asmita Gurung,5,Asmita Gurung,"Our mortgage Advisor was Asmita Gurung. She was very good at explaining things we didn’t understand, very polite and friendly.
Asmita made process stress free, easy to complete and I would highly recommend.",10
Henry,Emily Chattaway,5,Excellent service,"I've instructed Emily on a number of occasions now when remortgaging. She's always incredibly helpful and responsive, and provides all the context/information required so I can take an informed decision on the right product/rate. Highly recommend.",10
Aniv,Arbin Gurung,5,Excellent Service,"The my provided excellent service, they were patient, understanding and made the process very easy to complete.

Highly recommend !!",10
Klare,Jim Maye,5,Jim is the best.,Jim is super responsive and has great experience.,10
Jane,Rob Chart,5,,"Rob and his assistantRobert’s are so approachable and helpful.
Love doing business with them",10
Daniel,John Steer,5,,Have received Johns advice and help for over 10 years. Always friendly and supportive. Would recommend Finance Planning to family and friends.,10
